doc_id,label
0,alt.atheism
1,alt.atheism
2,alt.atheism
3,alt.atheism
4,alt.atheism
5,alt.atheism
6,alt.atheism
7,alt.atheism
8,alt.atheism
9,alt.atheism
10,alt.atheism
11,alt.atheism
12,alt.atheism
13,alt.atheism
14,alt.atheism
15,alt.atheism
16,alt.atheism
17,alt.atheism
18,alt.atheism
19,alt.atheism
20,alt.atheism
21,alt.atheism
22,alt.atheism
23,alt.atheism
24,alt.atheism
25,alt.atheism
26,alt.atheism
27,alt.atheism
28,alt.atheism
29,alt.atheism
30,alt.atheism
31,alt.atheism
32,alt.atheism
33,alt.atheism
34,alt.atheism
35,alt.atheism
36,alt.atheism
37,alt.atheism
38,alt.atheism
39,alt.atheism
40,alt.atheism
41,alt.atheism
42,alt.atheism
43,alt.atheism
44,alt.atheism
45,alt.atheism
46,alt.atheism
47,alt.atheism
48,alt.atheism
49,alt.atheism
50,alt.atheism
51,alt.atheism
52,alt.atheism
53,alt.atheism
54,alt.atheism
55,alt.atheism
56,alt.atheism
57,alt.atheism
58,alt.atheism
59,alt.atheism
60,alt.atheism
61,alt.atheism
62,alt.atheism
63,alt.atheism
64,alt.atheism
65,alt.atheism
66,alt.atheism
67,alt.atheism
68,alt.atheism
69,alt.atheism
70,alt.atheism
71,alt.atheism
72,alt.atheism
73,alt.atheism
74,alt.atheism
75,alt.atheism
76,alt.atheism
77,alt.atheism
78,alt.atheism
79,alt.atheism
80,alt.atheism
81,alt.atheism
82,alt.atheism
83,alt.atheism
84,alt.atheism
85,alt.atheism
86,alt.atheism
87,alt.atheism
88,alt.atheism
89,alt.atheism
90,alt.atheism
91,alt.atheism
92,alt.atheism
93,alt.atheism
94,alt.atheism
95,alt.atheism
96,alt.atheism
97,alt.atheism
98,alt.atheism
99,alt.atheism
100,alt.atheism
101,alt.atheism
102,alt.atheism
103,alt.atheism
104,alt.atheism
105,alt.atheism
106,alt.atheism
107,alt.atheism
108,alt.atheism
109,alt.atheism
110,alt.atheism
111,alt.atheism
112,alt.atheism
113,alt.atheism
114,alt.atheism
115,alt.atheism
116,alt.atheism
117,alt.atheism
118,alt.atheism
119,alt.atheism
120,alt.atheism
121,alt.atheism
122,alt.atheism
123,alt.atheism
124,alt.atheism
125,alt.atheism
126,alt.atheism
127,alt.atheism
128,alt.atheism
129,alt.atheism
130,alt.atheism
131,alt.atheism
132,alt.atheism
133,alt.atheism
134,alt.atheism
135,alt.atheism
136,alt.atheism
137,alt.atheism
138,alt.atheism
139,alt.atheism
140,alt.atheism
141,alt.atheism
142,alt.atheism
143,alt.atheism
144,alt.atheism
145,alt.atheism
146,alt.atheism
147,alt.atheism
148,alt.atheism
149,alt.atheism
150,alt.atheism
151,alt.atheism
152,alt.atheism
153,alt.atheism
154,alt.atheism
155,alt.atheism
156,alt.atheism
157,alt.atheism
158,alt.atheism
159,alt.atheism
160,alt.atheism
161,alt.atheism
162,alt.atheism
163,alt.atheism
164,alt.atheism
165,alt.atheism
166,alt.atheism
167,alt.atheism
168,alt.atheism
169,alt.atheism
170,alt.atheism
171,alt.atheism
172,alt.atheism
173,alt.atheism
174,alt.atheism
175,alt.atheism
176,alt.atheism
177,alt.atheism
178,alt.atheism
179,alt.atheism
180,alt.atheism
181,alt.atheism
182,alt.atheism
183,alt.atheism
184,alt.atheism
185,alt.atheism
186,alt.atheism
187,alt.atheism
188,alt.atheism
189,alt.atheism
190,alt.atheism
191,alt.atheism
192,alt.atheism
193,alt.atheism
194,alt.atheism
195,alt.atheism
196,alt.atheism
197,alt.atheism
198,alt.atheism
199,alt.atheism
200,alt.atheism
201,alt.atheism
202,alt.atheism
203,alt.atheism
204,alt.atheism
205,alt.atheism
206,alt.atheism
207,alt.atheism
208,alt.atheism
209,alt.atheism
210,alt.atheism
211,alt.atheism
212,alt.atheism
213,alt.atheism
214,alt.atheism
215,alt.atheism
216,alt.atheism
217,alt.atheism
218,alt.atheism
219,alt.atheism
220,alt.atheism
221,alt.atheism
222,alt.atheism
223,alt.atheism
224,alt.atheism
225,alt.atheism
226,alt.atheism
227,alt.atheism
228,alt.atheism
229,alt.atheism
230,alt.atheism
231,alt.atheism
232,alt.atheism
233,alt.atheism
234,alt.atheism
235,alt.atheism
236,alt.atheism
237,alt.atheism
238,alt.atheism
